"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 10:42:35 UTC 2025","Tue Dec 16 10:42:35 UTC 2025","22","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","whenAccessProtectedEndpointsWithJwt_thenOk","whenAccessProtectedEndpointsWithJwt_thenOk()",""
"passed","Tue Dec 16 10:42:16 UTC 2025","Tue Dec 16 10:42:16 UTC 2025","19","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Manifest with empty entrypoints array",""
"passed","Tue Dec 16 10:42:33 UTC 2025","Tue Dec 16 10:42:33 UTC 2025","80","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","shouldReturn400WhenIdempotencyKeyMissing","shouldReturn400WhenIdempotencyKeyMissing()",""
"passed","Tue Dec 16 10:42:32 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","7","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","getInsuranceConfigurations_ByUser_ReturnsList","getInsuranceConfigurations_ByUser_ReturnsList()",""
"passed","Tue Dec 16 10:42:32 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","7","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","updateInsuranceConfiguration_UpdatesAndSaves","updateInsuranceConfiguration_UpdatesAndSaves()",""
"passed","Tue Dec 16 10:42:32 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","293","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","deleteInsuranceConfiguration_ThrowsWhenNotFound","deleteInsuranceConfiguration_ThrowsWhenNotFound()",""
"passed","Tue Dec 16 10:42:32 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","4","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","getInsuranceConfigurationById_ThrowsWhenNotFound","getInsuranceConfigurationById_ThrowsWhenNotFound()",""
"passed","Tue Dec 16 10:42:49 UTC 2025","Tue Dec 16 10:42:49 UTC 2025","111","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","createInsuranceConfiguration_shouldPersistAndAssignTimestamps","createInsuranceConfiguration_shouldPersistAndAssignTimestamps()",""
"passed","Tue Dec 16 10:42:32 UTC 2025","Tue Dec 16 10:42:32 UTC 2025","4","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","updateInsuranceConfiguration_ThrowsWhenNotFound","updateInsuranceConfiguration_ThrowsWhenNotFound()",""
"passed","Tue Dec 16 10:42:23 UTC 2025","Tue Dec 16 10:42:29 UTC 2025","6063","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldRetryOnFailure","getArgoCDToken_shouldRetryOnFailure()",""
