"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 10:10:15 UTC 2025","Tue Dec 16 10:10:15 UTC 2025","11","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldReturnEndpoints_whenHealthyWebAppWithEntrypoints","listFrontendEndpoints_shouldReturnEndpoints_whenHealthyWebAppWithEntrypoints()",""
"passed","Tue Dec 16 10:10:39 UTC 2025","Tue Dec 16 10:10:39 UTC 2025","28","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","getInsuranceConfigurationById_shouldReturnEntity","getInsuranceConfigurationById_shouldReturnEntity()",""
"passed","Tue Dec 16 10:10:22 UTC 2025","Tue Dec 16 10:10:24 UTC 2025","2422","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldHandleNetworkErrors","getArgoCDToken_shouldHandleNetworkErrors()",""
"passed","Tue Dec 16 10:10:39 UTC 2025","Tue Dec 16 10:10:39 UTC 2025","39","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","updateInsuranceConfiguration_shouldNotOverwriteQuoteWhenNull","updateInsuranceConfiguration_shouldNotOverwriteQuoteWhenNull()",""
"passed","Tue Dec 16 10:10:26 UTC 2025","Tue Dec 16 10:10:26 UTC 2025","7","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","getInsuranceConfigurationById_ReturnsDto","getInsuranceConfigurationById_ReturnsDto()",""
"passed","Tue Dec 16 10:10:39 UTC 2025","Tue Dec 16 10:10:39 UTC 2025","104","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","getInsuranceConfigurationById_shouldThrowNotFound_WhenMissing","getInsuranceConfigurationById_shouldThrowNotFound_WhenMissing()",""
"passed","Tue Dec 16 10:10:26 UTC 2025","Tue Dec 16 10:10:26 UTC 2025","116","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","createInsuranceConfiguration_ReturnsCreatedDto","createInsuranceConfiguration_ReturnsCreatedDto()",""
"passed","Tue Dec 16 10:10:15 UTC 2025","Tue Dec 16 10:10:15 UTC 2025","20","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldSkipInvalidEntrypoints","listFrontendEndpoints_shouldSkipInvalidEntrypoints()",""
"passed","Tue Dec 16 10:10:09 UTC 2025","Tue Dec 16 10:10:09 UTC 2025","13","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Non-array entrypoints",""
"passed","Tue Dec 16 10:10:09 UTC 2025","Tue Dec 16 10:10:09 UTC 2025","15","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Missing manifests field",""
"passed","Tue Dec 16 10:10:26 UTC 2025","Tue Dec 16 10:10:26 UTC 2025","14","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","getInsuranceConfigurationById_NotFound_Returns404","getInsuranceConfigurationById_NotFound_Returns404()",""
"passed","Tue Dec 16 10:10:27 UTC 2025","Tue Dec 16 10:10:27 UTC 2025","17","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","whenAccessProtectedEndpointsWithJwt_thenOk","whenAccessProtectedEndpointsWithJwt_thenOk()",""
"passed","Tue Dec 16 10:10:26 UTC 2025","Tue Dec 16 10:10:26 UTC 2025","11","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","deleteInsuranceConfiguration_Returns204","deleteInsuranceConfiguration_Returns204()",""
"passed","Tue Dec 16 10:10:39 UTC 2025","Tue Dec 16 10:10:39 UTC 2025","56","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","createInsuranceConfiguration_shouldFailValidation_whenContentBlank","createInsuranceConfiguration_shouldFailValidation_whenContentBlank()",""
