"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 16 12:54:46 UTC 2025","Tue Dec 16 12:54:46 UTC 2025","2","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","getInsuranceConfigurationById_ReturnsEntity","getInsuranceConfigurationById_ReturnsEntity()",""
"passed","Tue Dec 16 12:54:46 UTC 2025","Tue Dec 16 12:54:46 UTC 2025","3","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","getInsuranceConfigurationById_ThrowsWhenNotFound","getInsuranceConfigurationById_ThrowsWhenNotFound()",""
"passed","Tue Dec 16 12:55:02 UTC 2025","Tue Dec 16 12:55:02 UTC 2025","34","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","","com.reply.arena.bridge.integration.service.InsuranceConfigurationServiceIT","getInsuranceConfigurations_ByUser_shouldReturnEmptyInitially","getInsuranceConfigurations_ByUser_shouldReturnEmptyInitially()",""
"passed","Tue Dec 16 12:54:37 UTC 2025","Tue Dec 16 12:54:37 UTC 2025","18","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldReturnEmptyList_whenNoHealthyWebApps","listFrontendEndpoints_shouldReturnEmptyList_whenNoHealthyWebApps()",""
"passed","Tue Dec 16 12:54:46 UTC 2025","Tue Dec 16 12:54:46 UTC 2025","7","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","","com.reply.arena.bridge.unit.service.InsuranceConfigurationServiceTest","getInsuranceConfigurations_ByUser_ReturnsList","getInsuranceConfigurations_ByUser_ReturnsList()",""
"passed","Tue Dec 16 12:54:48 UTC 2025","Tue Dec 16 12:54:48 UTC 2025","10","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","deleteInsuranceConfiguration_NotFound_Returns404","deleteInsuranceConfiguration_NotFound_Returns404()",""
"passed","Tue Dec 16 12:54:48 UTC 2025","Tue Dec 16 12:54:48 UTC 2025","25","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerSecurityTest","whenAccessProtectedEndpointsWithJwt_thenOk","whenAccessProtectedEndpointsWithJwt_thenOk()",""
"passed","Tue Dec 16 12:54:47 UTC 2025","Tue Dec 16 12:54:47 UTC 2025","14","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","","com.reply.arena.bridge.unit.controller.InsuranceConfigurationRestControllerTest","deleteInsuranceConfiguration_Returns204","deleteInsuranceConfiguration_Returns204()",""
"passed","Tue Dec 16 12:54:38 UTC 2025","Tue Dec 16 12:54:43 UTC 2025","4734","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdAuthServiceTest","getArgoCDToken_shouldRetryOnFailure","getArgoCDToken_shouldRetryOnFailure()",""
"passed","Tue Dec 16 12:54:30 UTC 2025","Tue Dec 16 12:54:30 UTC 2025","18","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","","com.reply.arena.bridge.unit.service.ArgoCdServiceTest","listFrontendEndpoints_shouldHandleInvalidManifests","listFrontendEndpoints_shouldHandleInvalidManifests(String, String, String) Empty manifests array",""
