"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can select Einfamilienhaus house type","0","User Can Select Einfamilienhaus","Tests","Mon Dec 08 10:50:18 UTC 2025","failed","Mon Dec 08 10:50:18 UTC 2025","VHVHappyPathTest","VHVProject","",""
"Verify user can ein Tarif rechnen after selecting Fahrrad","36239","User Can Tariff Rechnen","Tests","Mon Dec 08 10:50:18 UTC 2025","passed","Mon Dec 08 10:50:54 UTC 2025","LinexoHappyPathTest","LinexoProject","",""
