"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can select Einfamilienhaus house type","1","User Can Select Einfamilienhaus","Tests","Fri Nov 21 14:28:48 UTC 2025","failed","Fri Nov 21 14:28:48 UTC 2025","VHVHappyPathTest","VHVProject","",""
"Verify user can ein Tarif rechnen after selecting Fahrrad","20572","User Can Tariff Rechnen","Tests","Fri Nov 21 14:28:48 UTC 2025","failed","Fri Nov 21 14:29:09 UTC 2025","LinexoHappyPathTest","LinexoProject","",""
